UniProtKB:Q96SQ5	ZNF587
UniProtKB:Q96A59	MARVELD3
UniProtKB:Q8NCQ7	PROCA1
UniProtKB:Q8NCQ5	FBXO15
UniProtKB:Q5W0Z9	ZDHHC20
UniProtKB:P52272	HNRNPM
UniProtKB:Q9Y2D1	ATF5
UniProtKB:Q9Y2D0	CA5B
UniProtKB:P05423	POLR3D
UniProtKB:Q96HA7	TONSL
UniProtKB:Q96HA8	WDYHV1
UniProtKB:Q9P126	CLEC1B
UniProtKB:Q96A47	ISL2
UniProtKB:Q8NCP5	ZBTB44
UniProtKB:Q96A44	SPSB4
UniProtKB:P40879	SLC26A3
UniProtKB:Q9Y2C5	SLC17A4
UniProtKB:P07602	PSAP
UniProtKB:Q9Y2C3	B3GALT5
UniProtKB:Q9Y2C2	UST
UniProtKB:Q5JTZ9	AARS2
UniProtKB:Q14624	ITIH4
UniProtKB:Q14623	IHH
UniProtKB:M0R233	M0R233
UniProtKB:Q8ND04	SMG8
UniProtKB:Q9Y2B9	PKIG
UniProtKB:Q96A33	CCDC47
UniProtKB:Q9Y2B5	VPS9D1
UniProtKB:Q9Y2B2	PIGL
UniProtKB:Q9Y2B1	TMEM5
UniProtKB:Q9Y2B0	CNPY2
UniProtKB:P05408	SCG5
UniProtKB:P84103	SRSF3
UniProtKB:Q9H1I8	ASCC2
UniProtKB:P22570	FDXR
UniProtKB:P20396	TRH
UniProtKB:Q8NCN5	PDPR
UniProtKB:Q8NCN4	RNF169
UniProtKB:Q6K0P9	PYHIN1
UniProtKB:Q8NCN2	ZBTB34
UniProtKB:Q9Y2A4	ZNF443
UniProtKB:Q5W188	CST9LP1
UniProtKB:Q5W186	CST9
UniProtKB:Q9UK05	GDF2
UniProtKB:Q9H1J5	WNT8A
UniProtKB:Q5QJE6	DNTTIP2
UniProtKB:Q14602	ID2B
UniProtKB:Q8NCM8	DYNC2H1
UniProtKB:Q6W3E5	GDPD4
UniProtKB:Q8NCM2	KCNH5
UniProtKB:Q96A11	GAL3ST3
UniProtKB:Q9UK10	ZNF225
UniProtKB:Q9H1K1	ISCU
UniProtKB:Q9UK13	ZNF221
UniProtKB:Q9UJP4	KLHL21
UniProtKB:Q12788	TBL3
UniProtKB:Q96HE7	ERO1A
UniProtKB:Q96A08	HIST1H2BA
UniProtKB:Q6AZZ1	TRIM68
UniProtKB:Q14508	WFDC2
UniProtKB:Q5EG05	CARD16
